"game_id","team","opponent","WEPADiff","weight","game_week","season","week"
"2010_03_NYJ_MIA","NYJ","MIA",5.95771528171126,1,3,2010,3
"2010_01_OAK_TEN","LV","TEN",-16.3271955027502,1,1,2010,3
"2010_02_LAR_OAK","LV","LA",3.44895685874987,1,2,2010,3
"2010_03_OAK_ARI","LV","ARI",-5.24137090187373,1,3,2010,3
"2010_01_GB_PHI","PHI","GB",-6.56730848713924,1,1,2010,3
"2010_02_PHI_DET","PHI","DET",6.4969216217614,1,2,2010,3
"2010_03_PHI_JAX","PHI","JAX",30.6967185051911,1,3,2010,3
"2010_01_ATL_PIT","PIT","ATL",6.70032115572584,1,1,2010,3
"2010_02_PIT_TEN","PIT","TEN",10.337439698883,1,2,2010,3
"2010_03_PIT_TB","PIT","TB",22.1846164699932,1,3,2010,3
"2010_01_SF_SEA","SEA","SF",16.8944572716692,1,1,2010,3
"2010_02_SEA_DEN","SEA","DEN",-9.58049293259163,1,2,2010,3
"2010_03_LAC_SEA","SEA","LAC",11.3969511956079,1,3,2010,3
"2010_01_SF_SEA","SF","SEA",-16.8944572716692,1,1,2010,3
"2010_02_NO_SF","SF","NO",-11.1946310493265,1,2,2010,3
"2010_03_SF_KC","SF","KC",-19.0031267011981,1,3,2010,3
"2010_01_CLE_TB","TB","CLE",-3.32833644399179,1,1,2010,3
"2010_02_TB_CAR","TB","CAR",22.6885333380379,1,2,2010,3
"2010_03_PIT_TB","TB","PIT",-22.1846164699932,1,3,2010,3
"2010_01_OAK_TEN","TEN","LV",16.3271955027502,1,1,2010,3
"2010_02_PIT_TEN","TEN","PIT",-10.337439698883,1,2,2010,3
"2010_03_TEN_NYG","TEN","NYG",9.57291889265412,1,3,2010,3
"2010_01_DAL_WAS","WAS","DAL",6.9290017957434,1,1,2010,3
"2010_02_HOU_WAS","WAS","HOU",-5.04802143556876,1,2,2010,3
"2010_03_WAS_LAR","WAS","LA",-7.83401347807642,1,3,2010,3
"2009_14_ARI_SF","ARI","SF",-8.81956739034811,0.3,14,2010,3
"2009_15_ARI_DET","ARI","DET",19.3517372703656,0.3,15,2010,3
"2009_16_LAR_ARI","ARI","LA",17.1562624234028,0.3,16,2010,3
"2009_17_GB_ARI","ARI","GB",-28.0810267132134,0.3,17,2010,3
"2009_14_NO_ATL","ATL","NO",-11.2887099021457,0.3,14,2010,3
"2009_15_ATL_NYJ","ATL","NYJ",0.134066550352916,0.3,15,2010,3
"2009_16_BUF_ATL","ATL","BUF",23.4771801803777,0.3,16,2010,3
"2009_17_ATL_TB","ATL","TB",17.9779335298412,0.3,17,2010,3
"2009_14_DET_BAL","BAL","DET",44.7863703850135,0.3,14,2010,3
"2009_15_CHI_BAL","BAL","CHI",17.2408487923189,0.3,15,2010,3
"2009_16_BAL_PIT","BAL","PIT",-5.63683687186415,0.3,16,2010,3
"2009_17_BAL_OAK","BAL","LV",9.4134900028648,0.3,17,2010,3
"2009_14_BUF_KC","BUF","KC",19.7159060034485,0.3,14,2010,3
"2009_15_NE_BUF","BUF","NE",-9.1805029870249,0.3,15,2010,3
"2009_16_BUF_ATL","BUF","ATL",-23.4771801803777,0.3,16,2010,3
"2009_17_IND_BUF","BUF","IND",23.1713841203159,0.3,17,2010,3
"2009_14_CAR_NE","CAR","NE",-16.6870018272963,0.3,14,2010,3
"2009_15_MIN_CAR","CAR","MIN",11.4208987517501,0.3,15,2010,3
"2009_16_CAR_NYG","CAR","NYG",29.163193289788,0.3,16,2010,3
"2009_17_NO_CAR","CAR","NO",15.8677872158778,0.3,17,2010,3
"2009_14_GB_CHI","CHI","GB",-14.7011667670365,0.3,14,2010,3
"2009_15_CHI_BAL","CHI","BAL",-17.2408487923189,0.3,15,2010,3
"2009_16_MIN_CHI","CHI","MIN",14.4756885862531,0.3,16,2010,3
"2009_17_CHI_DET","CHI","DET",17.6043165669953,0.3,17,2010,3
"2009_14_CIN_MIN","CIN","MIN",-17.7563339271709,0.3,14,2010,3
"2009_15_CIN_LAC","CIN","LAC",-9.90090208191449,0.3,15,2010,3
"2009_16_KC_CIN","CIN","KC",8.99330973581686,0.3,16,2010,3
"2009_17_CIN_NYJ","CIN","NYJ",-34.3098588168017,0.3,17,2010,3
"2009_14_PIT_CLE","CLE","PIT",7.8276772127982,0.3,14,2010,3
"2009_15_CLE_KC","CLE","KC",12.9130248191807,0.3,15,2010,3
"2009_16_OAK_CLE","CLE","LV",9.87120366894658,0.3,16,2010,3
"2009_17_JAX_CLE","CLE","JAX",14.9997312353535,0.3,17,2010,3
"2009_14_LAC_DAL","DAL","LAC",-7.89442150144884,0.3,14,2010,3
"2009_15_DAL_NO","DAL","NO",10.4363476808521,0.3,15,2010,3
"2009_16_DAL_WAS","DAL","WAS",22.7849878878234,0.3,16,2010,3
"2009_17_PHI_DAL","DAL","PHI",22.2945191643856,0.3,17,2010,3
"2009_14_DEN_IND","DEN","IND",-15.2890938931012,0.3,14,2010,3
"2009_15_OAK_DEN","DEN","LV",-2.46299353459682,0.3,15,2010,3
"2009_16_DEN_PHI","DEN","PHI",-7.18112070573297,0.3,16,2010,3
"2009_17_KC_DEN","DEN","KC",-35.0237052946148,0.3,17,2010,3
"2009_14_DET_BAL","DET","BAL",-44.7863703850135,0.3,14,2010,3
"2009_15_ARI_DET","DET","ARI",-19.3517372703656,0.3,15,2010,3
"2009_16_DET_SF","DET","SF",-10.3550611918277,0.3,16,2010,3
"2009_17_CHI_DET","DET","CHI",-17.6043165669953,0.3,17,2010,3
"2009_14_GB_CHI","GB","CHI",14.7011667670365,0.3,14,2010,3
"2009_15_GB_PIT","GB","PIT",-4.14399150796296,0.3,15,2010,3
"2009_16_SEA_GB","GB","SEA",34.3492160195534,0.3,16,2010,3
"2009_17_GB_ARI","GB","ARI",28.0810267132134,0.3,17,2010,3
"2009_14_SEA_HOU","HOU","SEA",30.3026591783712,0.3,14,2010,3
"2009_15_HOU_LAR","HOU","LA",8.82069040680526,0.3,15,2010,3
"2009_16_HOU_MIA","HOU","MIA",17.4521236327482,0.3,16,2010,3
"2009_17_NE_HOU","HOU","NE",9.11114828135776,0.3,17,2010,3
"2009_14_DEN_IND","IND","DEN",15.2890938931012,0.3,14,2010,3
"2009_15_IND_JAX","IND","JAX",3.91425714392332,0.3,15,2010,3
"2009_16_NYJ_IND","IND","NYJ",-9.98757905010615,0.3,16,2010,3
"2009_17_IND_BUF","IND","BUF",-23.1713841203159,0.3,17,2010,3
"2009_14_MIA_JAX","JAX","MIA",-20.0678403678763,0.3,14,2010,3
"2009_15_IND_JAX","JAX","IND",-3.91425714392332,0.3,15,2010,3
"2009_16_JAX_NE","JAX","NE",-27.3832095075736,0.3,16,2010,3
"2009_17_JAX_CLE","JAX","CLE",-14.9997312353535,0.3,17,2010,3
"2009_14_BUF_KC","KC","BUF",-19.7159060034485,0.3,14,2010,3
"2009_15_CLE_KC","KC","CLE",-12.9130248191807,0.3,15,2010,3
"2009_16_KC_CIN","KC","CIN",-8.99330973581686,0.3,16,2010,3
"2009_17_KC_DEN","KC","DEN",35.0237052946148,0.3,17,2010,3
"2009_14_LAC_DAL","LAC","DAL",7.89442150144884,0.3,14,2010,3
"2009_15_CIN_LAC","LAC","CIN",9.90090208191449,0.3,15,2010,3
"2009_16_LAC_TEN","LAC","TEN",23.3894011326081,0.3,16,2010,3
"2009_17_WAS_LAC","LAC","WAS",3.43390596871218,0.3,17,2010,3
"2009_14_LAR_TEN","LA","TEN",-37.0241067172813,0.3,14,2010,3
"2009_15_HOU_LAR","LA","HOU",-8.82069040680526,0.3,15,2010,3
"2009_16_LAR_ARI","LA","ARI",-17.1562624234028,0.3,16,2010,3
"2009_17_SF_LAR","LA","SF",-20.5268189786476,0.3,17,2010,3
"2009_14_MIA_JAX","MIA","JAX",20.0678403678763,0.3,14,2010,3
"2009_15_MIA_TEN","MIA","TEN",-1.58999358767706,0.3,15,2010,3
"2009_16_HOU_MIA","MIA","HOU",-17.4521236327482,0.3,16,2010,3
"2009_17_PIT_MIA","MIA","PIT",-19.0596173188039,0.3,17,2010,3
"2009_14_CIN_MIN","MIN","CIN",17.7563339271709,0.3,14,2010,3
"2009_15_MIN_CAR","MIN","CAR",-11.4208987517501,0.3,15,2010,3
"2009_16_MIN_CHI","MIN","CHI",-14.4756885862531,0.3,16,2010,3
"2009_17_NYG_MIN","MIN","NYG",36.3827557849188,0.3,17,2010,3
"2009_14_CAR_NE","NE","CAR",16.6870018272963,0.3,14,2010,3
"2009_15_NE_BUF","NE","BUF",9.1805029870249,0.3,15,2010,3
"2009_16_JAX_NE","NE","JAX",27.3832095075736,0.3,16,2010,3
"2009_17_NE_HOU","NE","HOU",-9.11114828135776,0.3,17,2010,3
"2009_14_NO_ATL","NO","ATL",11.2887099021457,0.3,14,2010,3
"2009_15_DAL_NO","NO","DAL",-10.4363476808521,0.3,15,2010,3
"2009_16_TB_NO","NO","TB",3.78964423773289,0.3,16,2010,3
"2009_17_NO_CAR","NO","CAR",-15.8677872158778,0.3,17,2010,3
"2009_14_PHI_NYG","NYG","PHI",-17.9732893016296,0.3,14,2010,3
"2009_15_NYG_WAS","NYG","WAS",34.2933335421901,0.3,15,2010,3
"2009_16_CAR_NYG","NYG","CAR",-29.163193289788,0.3,16,2010,3
"2009_17_NYG_MIN","NYG","MIN",-36.3827557849188,0.3,17,2010,3
"2009_14_NYJ_TB","NYJ","TB",26.9614107706551,0.3,14,2010,3
"2009_15_ATL_NYJ","NYJ","ATL",-0.134066550352916,0.3,15,2010,3
"2009_16_NYJ_IND","NYJ","IND",9.98757905010615,0.3,16,2010,3
"2009_17_CIN_NYJ","NYJ","CIN",34.3098588168017,0.3,17,2010,3
"2009_14_WAS_OAK","LV","WAS",-23.6506907567197,0.3,14,2010,3
"2009_15_OAK_DEN","LV","DEN",2.46299353459682,0.3,15,2010,3
"2009_16_OAK_CLE","LV","CLE",-9.87120366894658,0.3,16,2010,3
"2009_17_BAL_OAK","LV","BAL",-9.4134900028648,0.3,17,2010,3
"2009_14_PHI_NYG","PHI","NYG",17.9732893016296,0.3,14,2010,3
"2009_15_SF_PHI","PHI","SF",10.4376232376305,0.3,15,2010,3
"2009_16_DEN_PHI","PHI","DEN",7.18112070573297,0.3,16,2010,3
"2009_17_PHI_DAL","PHI","DAL",-22.2945191643856,0.3,17,2010,3
"2009_14_PIT_CLE","PIT","CLE",-7.8276772127982,0.3,14,2010,3
"2009_15_GB_PIT","PIT","GB",4.14399150796296,0.3,15,2010,3
"2009_16_BAL_PIT","PIT","BAL",5.63683687186415,0.3,16,2010,3
"2009_17_PIT_MIA","PIT","MIA",19.0596173188039,0.3,17,2010,3
"2009_14_SEA_HOU","SEA","HOU",-30.3026591783712,0.3,14,2010,3
"2009_15_TB_SEA","SEA","TB",-15.9832108377422,0.3,15,2010,3
"2009_16_SEA_GB","SEA","GB",-34.3492160195534,0.3,16,2010,3
"2009_17_TEN_SEA","SEA","TEN",0.251691385129754,0.3,17,2010,3
"2009_14_ARI_SF","SF","ARI",8.81956739034811,0.3,14,2010,3
"2009_15_SF_PHI","SF","PHI",-10.4376232376305,0.3,15,2010,3
"2009_16_DET_SF","SF","DET",10.3550611918277,0.3,16,2010,3
"2009_17_SF_LAR","SF","LA",20.5268189786476,0.3,17,2010,3
"2009_14_NYJ_TB","TB","NYJ",-26.9614107706551,0.3,14,2010,3
"2009_15_TB_SEA","TB","SEA",15.9832108377422,0.3,15,2010,3
"2009_16_TB_NO","TB","NO",-3.78964423773289,0.3,16,2010,3
"2009_17_ATL_TB","TB","ATL",-17.9779335298412,0.3,17,2010,3
"2009_14_LAR_TEN","TEN","LA",37.0241067172813,0.3,14,2010,3
"2009_15_MIA_TEN","TEN","MIA",1.58999358767706,0.3,15,2010,3
"2009_16_LAC_TEN","TEN","LAC",-23.3894011326081,0.3,16,2010,3
"2009_17_TEN_SEA","TEN","SEA",-0.251691385129754,0.3,17,2010,3
"2009_14_WAS_OAK","WAS","LV",23.6506907567197,0.3,14,2010,3
"2009_15_NYG_WAS","WAS","NYG",-34.2933335421901,0.3,15,2010,3
"2009_16_DAL_WAS","WAS","DAL",-22.7849878878234,0.3,16,2010,3
"2009_17_WAS_LAC","WAS","LAC",-3.43390596871218,0.3,17,2010,3
"2010_01_ARI_LAR","ARI","LA",21.0492741322057,1,1,2010,4
"2010_02_ARI_ATL","ARI","ATL",-33.7328172538664,1,2,2010,4
"2010_03_OAK_ARI","ARI","LV",5.24137090187373,1,3,2010,4
"2010_04_ARI_LAC","ARI","LAC",-29.7159575698253,1,4,2010,4
"2010_01_ATL_PIT","ATL","PIT",-6.70032115572584,1,1,2010,4
"2010_02_ARI_ATL","ATL","ARI",33.7328172538664,1,2,2010,4
"2010_03_ATL_NO","ATL","NO",0.500468091926677,1,3,2010,4
"2010_04_SF_ATL","ATL","SF",-5.27256777791179,1,4,2010,4
"2010_01_BAL_NYJ","BAL","NYJ",-4.70670491569126,1,1,2010,4
"2010_02_BAL_CIN","BAL","CIN",-2.00773033069892,1,2,2010,4
"2010_03_CLE_BAL","BAL","CLE",17.7064767120348,1,3,2010,4
"2010_04_BAL_PIT","BAL","PIT",10.8454426500315,1,4,2010,4
"2010_01_MIA_BUF","BUF","MIA",-10.971587767454,1,1,2010,4
"2010_02_BUF_GB","BUF","GB",-29.1943411946163,1,2,2010,4
"2010_03_BUF_NE","BUF","NE",-9.4213769044182,1,3,2010,4
"2010_04_NYJ_BUF","BUF","NYJ",-21.9375959131179,1,4,2010,4
"2010_01_CAR_NYG","CAR","NYG",-9.88354571273132,1,1,2010,4
"2010_02_TB_CAR","CAR","TB",-22.6885333380379,1,2,2010,4
"2010_03_CIN_CAR","CAR","CIN",-11.8490215978318,1,3,2010,4
"2010_04_CAR_NO","CAR","NO",-7.6025145588807,1,4,2010,4
"2010_01_DET_CHI","CHI","DET",9.87605313357976,1,1,2010,4
"2010_02_CHI_DAL","CHI","DAL",9.39298006144143,1,2,2010,4
"2010_03_GB_CHI","CHI","GB",-0.430611781732506,1,3,2010,4
"2010_04_CHI_NYG","CHI","NYG",-16.6512133100606,1,4,2010,4
"2010_01_CIN_NE","CIN","NE",-12.2499884225862,1,1,2010,4
"2010_02_BAL_CIN","CIN","BAL",2.00773033069892,1,2,2010,4
"2010_03_CIN_CAR","CIN","CAR",11.8490215978318,1,3,2010,4
"2010_04_CIN_CLE","CIN","CLE",-2.2894813534914,1,4,2010,4
"2010_01_CLE_TB","CLE","TB",3.32833644399179,1,1,2010,4
"2010_02_KC_CLE","CLE","KC",2.57411824148264,1,2,2010,4
"2010_03_CLE_BAL","CLE","BAL",-17.7064767120348,1,3,2010,4
"2010_04_CIN_CLE","CLE","CIN",2.2894813534914,1,4,2010,4
"2010_01_DAL_WAS","DAL","WAS",-6.9290017957434,1,1,2010,4
"2010_02_CHI_DAL","DAL","CHI",-9.39298006144143,1,2,2010,4
"2010_03_DAL_HOU","DAL","HOU",11.1561718484196,1,3,2010,4
"2010_01_DEN_JAX","DEN","JAX",-7.00222782157558,1,1,2010,4
"2010_02_SEA_DEN","DEN","SEA",9.58049293259163,1,2,2010,4
"2010_03_IND_DEN","DEN","IND",-20.6173422444418,1,3,2010,4
"2010_04_DEN_TEN","DEN","TEN",2.79381904775505,1,4,2010,4
"2010_01_DET_CHI","DET","CHI",-9.87605313357976,1,1,2010,4
"2010_02_PHI_DET","DET","PHI",-6.4969216217614,1,2,2010,4
"2010_03_DET_MIN","DET","MIN",-15.2756274343586,1,3,2010,4
"2010_04_DET_GB","DET","GB",-3.67684207444892,1,4,2010,4
"2010_01_GB_PHI","GB","PHI",6.56730848713924,1,1,2010,4
"2010_02_BUF_GB","GB","BUF",29.1943411946163,1,2,2010,4
"2010_03_GB_CHI","GB","CHI",0.430611781732506,1,3,2010,4
"2010_04_DET_GB","GB","DET",3.67684207444892,1,4,2010,4
"2010_01_IND_HOU","HOU","IND",6.77537508218822,1,1,2010,4
"2010_02_HOU_WAS","HOU","WAS",5.04802143556876,1,2,2010,4
"2010_03_DAL_HOU","HOU","DAL",-11.1561718484196,1,3,2010,4
"2010_04_HOU_OAK","HOU","LV",17.370726636364,1,4,2010,4
"2010_01_IND_HOU","IND","HOU",-6.77537508218822,1,1,2010,4
"2010_02_NYG_IND","IND","NYG",23.7894849304007,1,2,2010,4
"2010_03_IND_DEN","IND","DEN",20.6173422444418,1,3,2010,4
"2010_04_IND_JAX","IND","JAX",-2.07847587695925,1,4,2010,4
"2010_01_DEN_JAX","JAX","DEN",7.00222782157558,1,1,2010,4
"2010_02_JAX_LAC","JAX","LAC",-19.7667107661225,1,2,2010,4
"2010_03_PHI_JAX","JAX","PHI",-30.6967185051911,1,3,2010,4
"2010_04_IND_JAX","JAX","IND",2.07847587695925,1,4,2010,4
"2010_01_LAC_KC","KC","LAC",2.42809058418783,1,1,2010,4
"2010_02_KC_CLE","KC","CLE",-2.57411824148264,1,2,2010,4
"2010_03_SF_KC","KC","SF",19.0031267011981,1,3,2010,4
"2010_01_LAC_KC","LAC","KC",-2.42809058418783,1,1,2010,4
"2010_02_JAX_LAC","LAC","JAX",19.7667107661225,1,2,2010,4
"2010_03_LAC_SEA","LAC","SEA",-11.3969511956079,1,3,2010,4
"2010_04_ARI_LAC","LAC","ARI",29.7159575698253,1,4,2010,4
"2010_01_ARI_LAR","LA","ARI",-21.0492741322057,1,1,2010,4
"2010_02_LAR_OAK","LA","LV",-3.44895685874987,1,2,2010,4
"2010_03_WAS_LAR","LA","WAS",7.83401347807642,1,3,2010,4
"2010_04_SEA_LAR","LA","SEA",26.9830932199701,1,4,2010,4
"2010_01_MIA_BUF","MIA","BUF",10.971587767454,1,1,2010,4
"2010_02_MIA_MIN","MIA","MIN",17.3551934316689,1,2,2010,4
"2010_03_NYJ_MIA","MIA","NYJ",-5.95771528171126,1,3,2010,4
"2010_04_NE_MIA","MIA","NE",-29.5395671889375,1,4,2010,4
"2010_01_MIN_NO","MIN","NO",-7.86964253922841,1,1,2010,4
"2010_02_MIA_MIN","MIN","MIA",-17.3551934316689,1,2,2010,4
"2010_03_DET_MIN","MIN","DET",15.2756274343586,1,3,2010,4
"2010_01_CIN_NE","NE","CIN",12.2499884225862,1,1,2010,4
"2010_02_NE_NYJ","NE","NYJ",-9.97048541608139,1,2,2010,4
"2010_03_BUF_NE","NE","BUF",9.4213769044182,1,3,2010,4
"2010_04_NE_MIA","NE","MIA",29.5395671889375,1,4,2010,4
"2010_01_MIN_NO","NO","MIN",7.86964253922841,1,1,2010,4
"2010_02_NO_SF","NO","SF",11.1946310493265,1,2,2010,4
"2010_03_ATL_NO","NO","ATL",-0.500468091926677,1,3,2010,4
"2010_04_CAR_NO","NO","CAR",7.6025145588807,1,4,2010,4
"2010_01_CAR_NYG","NYG","CAR",9.88354571273132,1,1,2010,4
"2010_02_NYG_IND","NYG","IND",-23.7894849304007,1,2,2010,4
