"Team","LowerCI95","UpperCI95","LowerCI85","UpperCI85","AdjWEPADiff","Season","LatestWeek"
"ARI",-3.84789949866333,9.38870671978569,-2.39388144329075,7.63599828958246,2.60865791921008,2020,17
"ATL",-5.55503812090953,7.75482951475986,-4.20597644990431,6.33807256342187,1.13225262459936,2020,17
"BAL",1.73783314848503,15.3316944587902,3.40144251364626,13.4857473992807,8.40186158016532,2020,17
"BUF",4.59544102517925,19.6618203315567,6.77617387873984,18.0028134269224,12.6186430423897,2020,17
"CAR",-10.3907679938517,3.3825548584046,-8.85100178374738,1.5279527098049,-3.37144341434671,2020,17
"CHI",-5.18403773569814,6.71765534005288,-3.92530012506387,4.64651844260483,0.311119755334411,2020,17
"CIN",-14.0566521546436,-0.0831436353466318,-11.4677956010931,-2.10106222693107,-6.95296481398542,2020,17
"CLE",-9.03664222932871,4.13211324600419,-7.37811228689932,2.54831688196002,-2.47650539806206,2020,17
"DAL",-14.2112553924669,-0.610465707832721,-12.5062788642158,-2.73246875346544,-7.44620081542508,2020,17
"DEN",-13.6945458914445,1.32735799266074,-12.0702976035923,-0.710137698394885,-6.21197270135951,2020,17
"DET",-16.0873041385175,-2.5710476767793,-14.2686251380786,-4.31639128534312,-9.36177074802576,2020,17
"GB",3.31468896823705,17.8939884955285,4.74801155451557,15.9937937737585,10.3695902158058,2020,17
"HOU",-12.8109738696547,-2.0219115503135,-11.3329804838355,-2.93657244155265,-7.13128022829634,2020,17
"IND",-4.83964894823969,9.07864307397848,-2.7684393527227,8.07850107205509,2.7283068165748,2020,17
"JAX",-24.7422580223716,-10.5090042459041,-23.3372479555324,-12.77659869958,-18.0618523688632,2020,17
"KC",5.83485410892323,19.9345338545869,7.21717298109498,17.8920332323994,12.805804681366,2020,17
"LA",-0.809874344622957,14.3203669067225,1.14443667926058,12.1080376342369,6.75534712831112,2020,17
"LAC",-9.31603970342728,6.88071963773626,-6.8896288850281,5.19172878582042,-0.877335981572633,2020,17
"LV",-7.81579428553447,10.5086799570561,-4.37506556493411,7.40848696236105,1.68034374498209,2020,17
"MIA",-3.51644979950874,9.54560113269181,-1.79002431134276,7.9317072239763,2.99583964270163,2020,17
"MIN",-9.84162033839895,2.44182365948305,-7.87612491326367,0.958709667934071,-3.5961669147886,2020,17
"NE",-11.5026999845777,5.97928832633595,-8.21169083993785,4.39029213842599,-2.15146936914643,2020,17
"NO",-0.471306323003064,16.4114505394008,1.61608952090286,14.1883521322697,7.62141836274309,2020,17
"NYG",-10.5438797398986,1.40888398038287,-9.13344079015211,-0.337243410592749,-4.69305207988285,2020,17
"NYJ",-16.8876031157705,-3.07890788884248,-15.3730781082832,-5.6735995909767,-10.5303928193221,2020,17
"PHI",-10.3529613347894,2.02024877064274,-8.80452177790637,-0.293267275177652,-4.36550790478124,2020,17
"PIT",-0.882445967091172,11.3411732761013,0.549943209429869,10.0406827117235,5.29004019907784,2020,17
"SEA",3.31999231663782,13.9882981147713,4.5825915014016,12.5426606148306,8.57003846655951,2020,17
"SF",-8.56460809350827,8.64621282565513,-6.19231120697287,6.42530399643645,-0.372299602434772,2020,17
"TB",1.93344756120262,17.342305878221,3.62016561649193,15.3857744218712,9.28816730659472,2020,17
"TEN",-7.34047947624925,7.36077080566332,-6.21517435844683,5.30913241711501,-0.347264655844863,2020,17
"WAS",-10.7664368679895,1.07715929606598,-9.2185808091903,-0.730175322379086,-5.08216771517141,2020,17
