"Team","LowerCI95","UpperCI95","LowerCI85","UpperCI85","AdjWEPADiff","Season","LatestWeek"
"ARI",-7.08114569941746,2.96535151332654,-5.95090370050469,1.65579411047802,-2.27109621197479,2016,15
"ATL",4.04725082300703,13.5408561222932,5.22348907722895,12.2702605562422,8.66087641792329,2016,15
"BAL",-2.79916966344896,7.37953430690558,-1.54867134463406,6.15386491779074,2.36267249197338,2016,15
"BUF",-4.70804182586209,8.5860044430752,-2.56670084769593,6.89582330515672,2.20970907222713,2016,15
"CAR",-2.80793800219038,7.17647628403903,-1.77251196425563,5.71725164061587,2.03254188716695,2016,15
"CHI",-11.9939121588081,-4.01652680387396,-10.7799093836996,-4.85473884151753,-7.83897965422462,2016,15
"CIN",-4.89642819845014,3.35888794229725,-3.83051460819672,2.4914699102454,-0.62828949778402,2016,15
"CLE",-17.2653078969842,-11.4871812377813,-16.4651553784554,-12.296735085603,-14.4228481388599,2016,15
"DAL",4.80958188384012,11.1083226918801,5.63747474495062,10.5471830757541,7.96745124777151,2016,15
"DEN",-0.771479481581045,8.11657168479835,0.0879628064804319,6.72238080537017,3.46636210904569,2016,15
"DET",-2.01126219136374,7.10041127532373,-0.714922401401586,6.07543692266082,2.43865300193421,2016,15
"GB",-0.259924192951059,10.5278268877601,1.3025873228053,9.49684352101272,5.48044586401102,2016,15
"HOU",-9.15567610654268,1.97375606493735,-7.47129590128886,0.588572381315877,-3.12128907237294,2016,15
"IND",-4.29550265624997,7.51920735300553,-2.44314458528729,6.42807845677979,1.93789554853489,2016,15
"JAX",-12.3977571354919,-4.2941452639754,-11.5093753483191,-5.22334747540968,-8.37590424684681,2016,15
"KC",-1.0829181474488,9.54249358234707,0.123521747338767,7.6158971279203,3.951743226408,2016,15
"LA",-14.4940546489849,-3.01383157213274,-12.8418263287842,-4.29665818554178,-8.40394424942358,2016,15
"LAC",0.059816378645783,6.97860699713537,0.707188350075994,6.27801071721889,3.36520714854443,2016,15
"LV",-1.14626759421471,7.88336106366683,-0.202861880979315,6.43965833133485,3.23231172141697,2016,15
"MIA",-10.3991300806236,2.12191720663722,-7.81607982997092,0.517394630265773,-3.69209129140846,2016,15
"MIN",-6.56835198488649,4.41317766727356,-4.95628159189444,3.24689686783098,-0.949933979042857,2016,15
"NE",3.93595508497928,14.0237708036997,5.23569933547297,13.0151642748716,9.1273056210364,2016,15
"NO",-3.52166215559324,5.97226922723543,-2.3353379949024,4.61821501341352,0.989717045811337,2016,15
"NYG",-0.0115267691209292,7.1915356009039,1.36963907791818,6.19847492489361,3.73878448115243,2016,15
"NYJ",-13.2502975744031,-2.72321397790733,-11.748092154426,-4.14450695993876,-8.05695712875918,2016,15
"PHI",-3.75587268759338,8.03212607445735,-2.47539749013192,6.05353512222609,1.67901720922935,2016,15
"PIT",-0.625738130291142,12.3550264308658,1.29761051017732,10.8321612616446,6.04600061749909,2016,15
"SEA",-2.9480209919516,9.26817307267209,-0.598212106596569,7.50008749632424,3.54383155826882,2016,15
"SF",-17.2639700939094,-8.03371814125462,-16.1495557922803,-9.61747167887743,-12.9505080368679,2016,15
"TB",-6.14071115549268,6.2463867780052,-4.61639143323153,4.33244137347075,0.0329743867700513,2016,15
"TEN",-7.28861898425811,4.34374501608778,-5.78734634527003,2.64550005214192,-1.46015775426163,2016,15
"WAS",-1.19854048028275,8.56650767033371,0.287484515023602,7.20719842787793,3.8996814381856,2016,15
