"AdjWEPADiff","Team","Season","LatestWeek"
19.139203052725,"BUF",2021,4
19.8481298646896,"BUF",2021,4
13.5550012863375,"BUF",2021,4
17.8485605738101,"BUF",2021,4
22.0555300422022,"BUF",2021,4
34.7853038848788,"BUF",2021,4
12.5971770522599,"BUF",2021,4
20.7334600594284,"BUF",2021,4
34.2682758163576,"BUF",2021,4
17.29153584402,"BUF",2021,4
17.0221076141517,"BUF",2021,4
25.9765675427096,"BUF",2021,4
22.0944688014304,"BUF",2021,4
20.6765779821446,"BUF",2021,4
8.22260914988809,"BUF",2021,4
12.6558930501196,"BUF",2021,4
21.7203725762604,"BUF",2021,4
19.135093868473,"BUF",2021,4
13.5622683340302,"BUF",2021,4
14.2828066034974,"BUF",2021,4
6.41014917070791,"BUF",2021,4
18.4391269208148,"BUF",2021,4
15.1101199295086,"BUF",2021,4
10.2611991188682,"BUF",2021,4
9.95811591510424,"BUF",2021,4
11.1951739797776,"BUF",2021,4
18.3083835865684,"BUF",2021,4
28.1264405183392,"BUF",2021,4
15.9637138326941,"BUF",2021,4
25.881400521483,"BUF",2021,4
23.223960930487,"BUF",2021,4
26.5899666272576,"BUF",2021,4
21.4594948281795,"BUF",2021,4
35.1148957738663,"BUF",2021,4
22.4536527417187,"BUF",2021,4
23.3227480151753,"BUF",2021,4
15.2904228545615,"BUF",2021,4
20.3122778421881,"BUF",2021,4
5.33154793824268,"BUF",2021,4
19.7338081335732,"BUF",2021,4
27.7697321639149,"BUF",2021,4
27.3517277449524,"BUF",2021,4
9.22746446182845,"BUF",2021,4
10.1685897067122,"BUF",2021,4
25.2088799098962,"BUF",2021,4
32.3480933965122,"BUF",2021,4
21.5209118416257,"BUF",2021,4
35.4396194389385,"BUF",2021,4
14.7656984926359,"BUF",2021,4
11.4327584838557,"BUF",2021,4
10.9000360994186,"BUF",2021,4
9.89235187086105,"BUF",2021,4
21.7233106617332,"BUF",2021,4
14.1273512931968,"BUF",2021,4
28.2555264646093,"BUF",2021,4
24.1608823009101,"BUF",2021,4
15.7334189387375,"BUF",2021,4
17.7832486540762,"BUF",2021,4
25.7301173482253,"BUF",2021,4
14.0760006003804,"BUF",2021,4
14.8324215687843,"BUF",2021,4
7.39544518203303,"BUF",2021,4
21.1250570645372,"BUF",2021,4
14.8040576910235,"BUF",2021,4
36.4765238943284,"BUF",2021,4
0.307485271367052,"BUF",2021,4
22.0442612000143,"BUF",2021,4
27.5990040059562,"BUF",2021,4
19.0939401506939,"BUF",2021,4
15.9585306795579,"BUF",2021,4
