"AdjWEPADiff","Team","Season","LatestWeek"
-2.62441757454276,"ATL",2021,5
-9.31538038705032,"ATL",2021,5
-14.6678650010955,"ATL",2021,5
-4.49995984482091,"ATL",2021,5
-15.598437776557,"ATL",2021,5
-7.09292658204528,"ATL",2021,5
4.03212326493867,"ATL",2021,5
-18.783315536534,"ATL",2021,5
-10.3753898629557,"ATL",2021,5
-11.0857023942167,"ATL",2021,5
-6.52698452142997,"ATL",2021,5
-1.33120225540638,"ATL",2021,5
-12.4079367895145,"ATL",2021,5
-8.05612353267918,"ATL",2021,5
-6.53156381353188,"ATL",2021,5
-9.10586713993357,"ATL",2021,5
-4.65807123468978,"ATL",2021,5
-7.02912099262368,"ATL",2021,5
-0.395385639356818,"ATL",2021,5
-10.4435066308458,"ATL",2021,5
-8.32826011394314,"ATL",2021,5
-6.80897141793086,"ATL",2021,5
2.92941874002236,"ATL",2021,5
-8.94305711977441,"ATL",2021,5
-8.67634190491338,"ATL",2021,5
-2.25843579236831,"ATL",2021,5
-9.29731644675979,"ATL",2021,5
-7.38365116294447,"ATL",2021,5
-17.1102197182464,"ATL",2021,5
-9.85402102605027,"ATL",2021,5
-16.2405129427423,"ATL",2021,5
-5.85527662283387,"ATL",2021,5
-9.00511345309785,"ATL",2021,5
-4.80311707170882,"ATL",2021,5
-11.9374928030007,"ATL",2021,5
-12.6559379020172,"ATL",2021,5
-9.00146798842917,"ATL",2021,5
-6.66977940738777,"ATL",2021,5
1.46185386810195,"ATL",2021,5
-17.9400719029179,"ATL",2021,5
-3.79277563892758,"ATL",2021,5
-6.19304524623557,"ATL",2021,5
-18.7674457383052,"ATL",2021,5
-19.4795552869553,"ATL",2021,5
-16.1365151043632,"ATL",2021,5
-12.4844592736865,"ATL",2021,5
-9.77698178580967,"ATL",2021,5
-5.50068117404119,"ATL",2021,5
-9.85991407728515,"ATL",2021,5
-1.31480068924123,"ATL",2021,5
-12.2654028409276,"ATL",2021,5
-10.643182316845,"ATL",2021,5
-8.34884311145704,"ATL",2021,5
-10.9456624015364,"ATL",2021,5
-10.1861124748482,"ATL",2021,5
-4.42011547893083,"ATL",2021,5
-10.2904272554913,"ATL",2021,5
-12.6600683672409,"ATL",2021,5
-9.41677767109374,"ATL",2021,5
-13.940881563477,"ATL",2021,5
-16.5757539566682,"ATL",2021,5
-16.1830916083697,"ATL",2021,5
-5.17387659347574,"ATL",2021,5
-5.04799928373035,"ATL",2021,5
-10.8652494217509,"ATL",2021,5
-15.3749320260002,"ATL",2021,5
-15.3221648136912,"ATL",2021,5
-7.64540585706565,"ATL",2021,5
-19.3217353600874,"ATL",2021,5
-9.55196684267587,"ATL",2021,5
1.29867171518604,"ATL",2021,5
-7.06636749206316,"ATL",2021,5
-0.0707959121182365,"ATL",2021,5
-9.36289336495715,"ATL",2021,5
-14.8602617817521,"ATL",2021,5
-2.68155925382834,"ATL",2021,5
-14.5424735868572,"ATL",2021,5
-7.46521687703807,"ATL",2021,5
-2.68180489062603,"ATL",2021,5
-4.50527366887369,"ATL",2021,5
-3.38611929172735,"ATL",2021,5
-7.88906488146194,"ATL",2021,5
-2.44928452574819,"ATL",2021,5
-7.59121359173365,"ATL",2021,5
-3.90216541604817,"ATL",2021,5
-7.78413459844534,"ATL",2021,5
-13.5755914775474,"ATL",2021,5
-11.1864956736914,"ATL",2021,5
-3.81660412822258,"ATL",2021,5
-11.3474126228851,"ATL",2021,5
-28.0195119916931,"ATL",2021,5
-7.90509356353021,"ATL",2021,5
-7.83373140667571,"ATL",2021,5
-7.59571495300667,"ATL",2021,5
-5.81854794559061,"ATL",2021,5
-10.3733598841903,"ATL",2021,5
-15.6612889634334,"ATL",2021,5
-8.7094004006065,"ATL",2021,5
-14.0363040971648,"ATL",2021,5
-3.24857034504765,"ATL",2021,5
-14.6224410675604,"ATL",2021,5
-0.478504440048262,"ATL",2021,5
-15.1263199548844,"ATL",2021,5
-8.88933699937532,"ATL",2021,5
-10.628318101577,"ATL",2021,5
-3.94118283121271,"ATL",2021,5
-5.23366121816994,"ATL",2021,5
-0.17801291994814,"ATL",2021,5
-8.14371604889465,"ATL",2021,5
-6.61165302848289,"ATL",2021,5
-6.52300227992371,"ATL",2021,5
-8.289338948389,"ATL",2021,5
-5.35468466766447,"ATL",2021,5
-7.15202152780745,"ATL",2021,5
-6.60374145432227,"ATL",2021,5
-7.22447532416671,"ATL",2021,5
-15.3781901621806,"ATL",2021,5
-11.7614252691459,"ATL",2021,5
-8.79062889930683,"ATL",2021,5
-12.3616255846415,"ATL",2021,5
-13.4936556968325,"ATL",2021,5
-2.24848445950627,"ATL",2021,5
-9.09238660725959,"ATL",2021,5
-7.93816082927697,"ATL",2021,5
-12.9534008873017,"ATL",2021,5
-5.53816042761401,"ATL",2021,5
1.35977328829249,"ATL",2021,5
-14.8870018933259,"ATL",2021,5
