"AdjWEPADiff","Team","Season","LatestWeek"
-8.84050828774981,"ATL",2021,5
-15.1852385168086,"ATL",2021,5
-7.34815591596138,"ATL",2021,5
1.1373231358344,"ATL",2021,5
-12.1347477572524,"ATL",2021,5
-9.6485157849924,"ATL",2021,5
-13.2545355623432,"ATL",2021,5
-18.1057094090037,"ATL",2021,5
-10.6380503654152,"ATL",2021,5
-9.2038363342614,"ATL",2021,5
-12.9092750106988,"ATL",2021,5
-14.6620112066466,"ATL",2021,5
-1.76863146805285,"ATL",2021,5
-8.85613477733417,"ATL",2021,5
-9.89974719941929,"ATL",2021,5
-39.282847808912,"ATL",2021,5
-7.3764245377227,"ATL",2021,5
-1.47643976182649,"ATL",2021,5
-9.43010432758538,"ATL",2021,5
3.31165126758081,"ATL",2021,5
-3.31236812412491,"ATL",2021,5
-16.5033361643367,"ATL",2021,5
-2.04810199494428,"ATL",2021,5
-4.31125264202092,"ATL",2021,5
-5.63565350216738,"ATL",2021,5
-3.1900525540822,"ATL",2021,5
-9.83700144945332,"ATL",2021,5
-13.7679217896604,"ATL",2021,5
-0.835002254892948,"ATL",2021,5
-2.34091288189842,"ATL",2021,5
-14.8171892936725,"ATL",2021,5
-8.77814634598021,"ATL",2021,5
-11.5466339302914,"ATL",2021,5
-5.99221236997917,"ATL",2021,5
-6.79346699146448,"ATL",2021,5
-8.81725720275317,"ATL",2021,5
-7.05810747758982,"ATL",2021,5
-7.182682941889,"ATL",2021,5
-13.5649575951169,"ATL",2021,5
-9.17923638102611,"ATL",2021,5
-11.4107766794429,"ATL",2021,5
-7.6762622630059,"ATL",2021,5
-8.22321848194782,"ATL",2021,5
-13.6788797173228,"ATL",2021,5
-11.9450301166419,"ATL",2021,5
-16.2246469082499,"ATL",2021,5
-4.62864217740599,"ATL",2021,5
-10.9615289263514,"ATL",2021,5
-13.1923094598294,"ATL",2021,5
-8.56137636782391,"ATL",2021,5
-5.75456131273567,"ATL",2021,5
-7.07604120458784,"ATL",2021,5
-13.1940837592289,"ATL",2021,5
-3.63299046138118,"ATL",2021,5
-11.0959557325003,"ATL",2021,5
-7.37142774657758,"ATL",2021,5
-13.1807691150729,"ATL",2021,5
-5.52670030060474,"ATL",2021,5
-8.52599466292349,"ATL",2021,5
-8.47919725880448,"ATL",2021,5
-4.33593224545513,"ATL",2021,5
-2.82015989214689,"ATL",2021,5
-9.16146360029374,"ATL",2021,5
-11.5788210372244,"ATL",2021,5
-8.04871333898091,"ATL",2021,5
-7.10383611425446,"ATL",2021,5
-8.98437751275519,"ATL",2021,5
-2.7186735765116,"ATL",2021,5
-6.78724941150359,"ATL",2021,5
-6.6466186658548,"ATL",2021,5
-6.29531948827579,"ATL",2021,5
-6.61232292824314,"ATL",2021,5
-1.55302332669041,"ATL",2021,5
-19.3560226722621,"ATL",2021,5
-10.4647954393982,"ATL",2021,5
-2.39967347344647,"ATL",2021,5
-28.8049742783747,"ATL",2021,5
-11.0450054230415,"ATL",2021,5
-9.0080966902178,"ATL",2021,5
-12.5690865978093,"ATL",2021,5
-14.2880294704633,"ATL",2021,5
-7.56839007869523,"ATL",2021,5
-11.1993370058711,"ATL",2021,5
-4.51097219429351,"ATL",2021,5
-14.8195990721495,"ATL",2021,5
-5.78796898625927,"ATL",2021,5
-14.2160521632446,"ATL",2021,5
-11.2261329761401,"ATL",2021,5
-11.6366995616517,"ATL",2021,5
-14.7820393628857,"ATL",2021,5
-13.4481063166912,"ATL",2021,5
-10.6215623647319,"ATL",2021,5
-4.45887983885323,"ATL",2021,5
-3.11077265174647,"ATL",2021,5
-6.07744349411157,"ATL",2021,5
-16.2276075400052,"ATL",2021,5
-9.67493321807047,"ATL",2021,5
-5.49236313468533,"ATL",2021,5
-13.9862339876688,"ATL",2021,5
-12.2686497907396,"ATL",2021,5
-3.84595651980078,"ATL",2021,5
-10.5815401284141,"ATL",2021,5
-13.0992278388757,"ATL",2021,5
-13.0399644678732,"ATL",2021,5
-18.3988888122924,"ATL",2021,5
-11.3874467256275,"ATL",2021,5
-10.0391877536113,"ATL",2021,5
-21.7609883881059,"ATL",2021,5
-10.4604142130014,"ATL",2021,5
-10.1793508947503,"ATL",2021,5
-5.3729990115749,"ATL",2021,5
-4.70883807144672,"ATL",2021,5
-14.0976724019217,"ATL",2021,5
-2.25695287413287,"ATL",2021,5
-2.02499464474541,"ATL",2021,5
-11.6318611916262,"ATL",2021,5
-13.8058890064122,"ATL",2021,5
-8.28761670587795,"ATL",2021,5
-13.6392680372998,"ATL",2021,5
-14.5798112693621,"ATL",2021,5
-6.48546493581681,"ATL",2021,5
-7.06987064531856,"ATL",2021,5
-4.58519276335902,"ATL",2021,5
-10.7626430025136,"ATL",2021,5
-10.0207139786682,"ATL",2021,5
-9.52990843660843,"ATL",2021,5
-1.33030535723352,"ATL",2021,5
-10.765947046764,"ATL",2021,5
-14.4149418614634,"ATL",2021,5
-20.6062817014607,"ATL",2021,5
-3.90809420031434,"ATL",2021,5
-9.09797589551751,"ATL",2021,5
-10.3296662548485,"ATL",2021,5
-5.76893295561574,"ATL",2021,5
-3.7796797943167,"ATL",2021,5
-11.0611126982257,"ATL",2021,5
-6.96210138760965,"ATL",2021,5
-10.2353873779206,"ATL",2021,5
-5.60670400388446,"ATL",2021,5
-6.85819481646239,"ATL",2021,5
-13.8611190522633,"ATL",2021,5
-17.7696149657466,"ATL",2021,5
-15.2907657954144,"ATL",2021,5
-0.837733187314171,"ATL",2021,5
-4.00969968357501,"ATL",2021,5
-8.11475724807134,"ATL",2021,5
-19.1148173158395,"ATL",2021,5
-12.7041434137699,"ATL",2021,5
-4.98079723488418,"ATL",2021,5
-14.0631788606932,"ATL",2021,5
