"game_id","team","opponent","game_week","WEPADiff","prev_season_data","season","week","week_diff"
"2019_03_CAR_ARI","ARI","CAR",3,-16.9507358782035,0,2019,4,1
"2019_03_CAR_ARI","CAR","ARI",3,16.9507358782035,0,2019,4,1
"2019_03_CHI_WAS","CHI","WAS",3,13.4447321541228,0,2019,4,1
"2019_03_CHI_WAS","WAS","CHI",3,-13.4447321541228,0,2019,4,1
"2019_03_CIN_BUF","BUF","CIN",3,6.46705744907553,0,2019,4,1
"2019_03_CIN_BUF","CIN","BUF",3,-6.46705744907553,0,2019,4,1
"2019_03_DEN_GB","DEN","GB",3,-10.8425684785169,0,2019,4,1
"2019_03_DEN_GB","GB","DEN",3,10.8425684785169,0,2019,4,1
"2019_03_DET_PHI","DET","PHI",3,7.93591928604834,0,2019,4,1
"2019_03_DET_PHI","PHI","DET",3,-7.93591928604834,0,2019,4,1
"2019_03_HOU_LAC","HOU","LAC",3,8.92980349079126,0,2019,4,1
"2019_03_HOU_LAC","LAC","HOU",3,-8.92980349079126,0,2019,4,1
"2019_03_LAR_CLE","CLE","LA",3,-24.2335925493867,0,2019,4,1
"2019_03_LAR_CLE","LA","CLE",3,24.2335925493867,0,2019,4,1
"2019_03_MIA_DAL","DAL","MIA",3,26.6519261996135,0,2019,4,1
"2019_03_MIA_DAL","MIA","DAL",3,-26.6519261996135,0,2019,4,1
"2019_03_NO_SEA","NO","SEA",3,11.0066341882418,0,2019,4,1
"2019_03_NO_SEA","SEA","NO",3,-11.0066341882418,0,2019,4,1
"2019_03_NYG_TB","NYG","TB",3,-3.77407293122471,0,2019,4,1
"2019_03_NYG_TB","TB","NYG",3,3.77407293122471,0,2019,4,1
"2019_03_NYJ_NE","NE","NYJ",3,23.7829904097739,0,2019,4,1
"2019_03_NYJ_NE","NYJ","NE",3,-23.7829904097739,0,2019,4,1
"2019_03_OAK_MIN","MIN","LV",3,19.6789979552129,0,2019,4,1
"2019_03_OAK_MIN","LV","MIN",3,-19.6789979552129,0,2019,4,1
"2019_03_PIT_SF","PIT","SF",3,-4.1751344335991,0,2019,4,1
"2019_03_PIT_SF","SF","PIT",3,4.1751344335991,0,2019,4,1
"2019_03_TEN_JAX","JAX","TEN",3,12.5034793294428,0,2019,4,1
"2019_03_TEN_JAX","TEN","JAX",3,-12.5034793294428,0,2019,4,1
"2019_04_CAR_HOU","CAR","HOU",4,7.0020060329545,0,2019,4,0
"2019_04_CAR_HOU","HOU","CAR",4,-7.0020060329545,0,2019,4,0
"2019_04_CIN_PIT","CIN","PIT",4,-25.0862929989214,0,2019,4,0
"2019_04_CIN_PIT","PIT","CIN",4,25.0862929989214,0,2019,4,0
"2019_04_CLE_BAL","BAL","CLE",4,-14.8951631639049,0,2019,4,0
"2019_04_CLE_BAL","CLE","BAL",4,14.8951631639049,0,2019,4,0
"2019_04_DAL_NO","DAL","NO",4,-2.93534637010608,0,2019,4,0
"2019_04_DAL_NO","NO","DAL",4,2.93534637010608,0,2019,4,0
