game_id,team,opponent,season,game_number,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa_against,wepa_net,wepa_against,d_wepa,wepa_net_opponent
2000_01_ARI_NYG,ARI,NYG,2000,1.0,-5.0,5.0,1.7240714076637569,5.656097546764546,-3.9320261391007887,3.9320261391007887,-0.6895280837499198,-4.527434952811269,3.837906869061349,-1.893413538012516,0.3578817518099767,-2.251295289822493
2000_02_DAL_ARI,ARI,DAL,2000,2.0,1.0,-1.0,11.853323305422917,13.498592835655684,-1.6452695302327704,1.6452695302327704,17.239958618263643,15.709465006126626,1.5304936121370163,21.67977676534904,15.439623719810497,6.240153045538541
2000_04_GB_ARI,ARI,GB,2000,3.0,-26.0,26.0,-12.60240753943799,18.34494458567189,-30.94735212510988,30.94735212510988,-17.672740986452183,19.872770308280785,-37.54551129473297,17.67043194079429,-19.57484762671504,37.24527956750933
2000_05_ARI_SF,ARI,SF,2000,4.0,-7.0,7.0,-1.355269737959482,3.001425657223922,-4.356695395183404,4.356695395183404,1.143190336514055,0.1707737021348388,0.9724166343792162,0.9775011927942208,-7.027540020192223,8.005041212986443
2000_06_CLE_ARI,ARI,CLE,2000,5.0,8.0,-8.0,11.860519486818468,5.430550002688438,6.42996948413003,-6.42996948413003,10.700085907872705,-2.1745783934245706,12.874664301297273,-7.614122667680103,9.515510013195858,-17.12963268087596
2000_07_PHI_ARI,ARI,PHI,2000,6.0,-19.0,19.0,0.7048028274190226,23.318603783446846,-22.613800956027823,22.613800956027823,12.329425962418824,21.34604646763264,-9.016620505213812,17.014455374827243,8.597107181955904,8.417348192871339
2000_08_ARI_DAL,ARI,DAL,2000,7.0,-41.0,41.0,-19.99811094054684,20.888238960627724,-40.88634990117457,40.88634990117457,-24.428608565613416,20.703094624663294,-45.13170319027671,16.113325167693375,-21.848404385474616,37.96172955316799
2000_09_NO_ARI,ARI,NO,2000,8.0,-11.0,11.0,-5.848945125571565,7.072959566888063,-12.921904692459629,12.921904692459629,-11.203053343996489,-0.0184216238014859,-11.184631720195004,-5.859269601031349,-8.226422977811637,2.367153376780288
2000_10_WAS_ARI,ARI,WAS,2000,9.0,1.0,-1.0,-5.634473728013803,-3.5378189780893727,-2.09665474992443,2.09665474992443,-8.679573927846848,-4.579886214088557,-4.099687713758291,7.462873259297942,-13.600520982221962,21.063394241519905
2000_11_ARI_MIN,ARI,MIN,2000,10.0,-17.0,17.0,0.0312691898516206,16.685374552454494,-16.654105362602873,16.654105362602873,-3.897705243045343,21.82064736535657,-25.718352608401915,14.708032083211773,-7.250412971098217,21.95844505430999
2000_12_ARI_PHI,ARI,PHI,2000,11.0,-25.0,25.0,-11.766948319054674,12.580878386922665,-24.347826705977337,24.347826705977337,-12.159343831413716,22.73989681204728,-34.89924064346099,20.651619882280343,-9.120972154162208,29.77259203644256
2000_13_NYG_ARI,ARI,NYG,2000,12.0,-24.0,24.0,-13.4978472932541,14.23176462046943,-27.72961191372353,27.72961191372353,-10.099580002585768,6.660400632564627,-16.759980635150395,7.23751641011576,-5.373862183542814,12.611378593658577
2000_14_ARI_CIN,ARI,CIN,2000,13.0,-11.0,11.0,0.9020548538288652,10.331732359531928,-9.429677505703062,9.429677505703062,-4.49939314806136,-1.3689283718480738,-3.1304647762132864,-4.03132680572064,-3.719427778380298,-0.3118990273403423
2000_15_ARI_JAX,ARI,JAX,2000,14.0,-34.0,34.0,-2.2877804176075105,30.159584664706514,-32.44736508231402,32.44736508231402,-9.308493940844258,31.381653026278123,-40.69014696712238,24.952209349845205,-9.854342795764104,34.80655214560931
2000_16_BAL_ARI,ARI,BAL,2000,15.0,-6.0,6.0,-21.056604449940725,-12.43510888500686,-8.621495564933866,8.621495564933866,-19.132201484846977,-13.62515397694437,-5.507047507902607,-8.756976680599369,-24.816852117556337,16.05987543695697
2000_17_ARI_WAS,ARI,WAS,2000,16.0,-17.0,17.0,-17.29789008264197,-1.2880815132770131,-16.009808569364957,16.009808569364957,-15.532455322976844,-10.9673170275307,-4.565138295446143,-11.644173586769783,-14.258069816175718,2.613896229405933
2000_01_SF_ATL,ATL,SF,2000,1.0,8.0,-8.0,10.514171504835293,3.965828432310431,6.548343072524862,-6.548343072524862,16.65572393879064,2.469008727794132,14.186715210996509,-0.5922561033663648,16.670637234254627,-17.26289333762099
2000_02_ATL_DEN,ATL,DEN,2000,2.0,-28.0,28.0,-12.352380180174244,15.261614377138688,-27.61399455731293,27.61399455731293,-4.719807947113459,10.81960468332004,-15.539412630433498,6.190181439878934,-9.347066421557932,15.537247861436867
2000_03_ATL_CAR,ATL,CAR,2000,3.0,5.0,-5.0,-17.825224157464337,-24.287588876771853,6.462364719307516,-6.462364719307516,-24.752018337159768,-34.43320722777275,9.68118889061298,-35.38160817749082,-24.368717071764504,-11.012891105726316
2000_04_LAR_ATL,ATL,LA,2000,4.0,-21.0,21.0,-17.618424102306566,9.417790424099149,-27.036214526405715,27.036214526405715,-9.653795002562417,3.13032728281902,-12.784122285381436,0.7882005762736695,-15.696229490669548,16.48443006694322
2000_05_ATL_PHI,ATL,PHI,2000,5.0,-28.0,28.0,-9.308590175567309,18.137318185391496,-27.445908360958803,27.445908360958803,-13.666785912860009,25.547424904090068,-39.21421081695008,26.39912531628245,-10.487276154334664,36.88640147061712
2000_06_NYG_ATL,ATL,NYG,2000,6.0,-7.0,7.0,-18.83429349371,-9.754416516803309,-9.079876976906686,9.079876976906686,-22.74811514741247,-12.762601644798162,-9.985513502614308,-19.790141581761265,-20.81702511383481,1.0268835320735406
